conseq	area-under-curve
upstream_gene_variant	9990.411152853025	
non_coding_transcript_exon_variant	9989.319906803103	
splice_donor_5th_base_variant&intron_variant&non_coding_transcript_variant	9998.674135517653	
intron_variant&non_coding_transcript_variant	9987.292975201388	
splice_polypyrimidine_tract_variant&intron_variant&non_coding_transcript_variant	9993.144442407034	
splice_acceptor_variant&non_coding_transcript_variant	9998.544670928224	
splice_region_variant&non_coding_transcript_exon_variant	9997.238594556127	
splice_region_variant&intron_variant&non_coding_transcript_variant	9997.827204772799	
splice_polypyrimidine_tract_variant&splice_region_variant&intron_variant&non_coding_transcript_variant	9995.047727611483	
splice_donor_variant&non_coding_transcript_variant	9998.405461695991	
splice_donor_region_variant&intron_variant&non_coding_transcript_variant	9996.446221071239	
splice_region_variant&splice_polypyrimidine_tract_variant&intron_variant&non_coding_transcript_variant	9996.485016182682	
downstream_gene_variant	9990.046904647988	
intron_variant	9989.284866729831	
splice_polypyrimidine_tract_variant&intron_variant	9988.798335809168	
splice_polypyrimidine_tract_variant&splice_region_variant&intron_variant	9990.751042087271	
splice_acceptor_variant	9998.807795950943	
missense_variant&splice_region_variant	9997.72226285801	
synonymous_variant	9986.969004249591	
missense_variant	9994.321002041064	
stop_gained	9998.687488854655	
frameshift_variant	9998.442164816723	
inframe_deletion	9996.946793633797	
stop_gained&inframe_insertion	9998.955903505528	
protein_altering_variant	9998.900579162348	
stop_lost	9998.371827753825	
3_prime_UTR_variant	9990.25437471602	
mature_miRNA_variant	9998.79243860405	
splice_acceptor_variant&splice_polypyrimidine_tract_variant&non_coding_transcript_exon_variant&intron_variant	9998.882165163082	
inframe_insertion	9995.464467633657	
stop_gained&inframe_deletion	9998.945722300141	
start_lost	9998.812644717924	
splice_donor_variant&splice_donor_region_variant&non_coding_transcript_exon_variant&intron_variant	9998.97951388889	
coding_sequence_variant	9956.157495257074	
splice_region_variant&synonymous_variant	9994.085357919217	
splice_donor_variant	9998.86339149741	
splice_donor_region_variant&intron_variant	9995.022300516108	
splice_donor_5th_base_variant&intron_variant	9997.650249163331	
splice_region_variant&intron_variant	9990.290683918814	
splice_region_variant&splice_polypyrimidine_tract_variant&intron_variant	9990.497643967463	
splice_donor_variant&splice_donor_5th_base_variant&coding_sequence_variant&intron_variant	9998.849628261443	
frameshift_variant&splice_region_variant	9998.877610231773	
stop_retained_variant	9998.898664199976	
splice_acceptor_variant&coding_sequence_variant	9998.892114066097	
stop_gained&splice_region_variant	9998.973255640823	
splice_acceptor_variant&splice_polypyrimidine_tract_variant&coding_sequence_variant&intron_variant	9998.918264154228	
stop_gained&frameshift_variant	9998.892085249441	
inframe_deletion&splice_region_variant	9998.94695145631	
splice_donor_variant&splice_donor_region_variant&intron_variant	9998.91955336733	
5_prime_UTR_variant	9992.813956965772	
splice_donor_variant&coding_sequence_variant	9998.87737118769	
splice_donor_variant&splice_donor_5th_base_variant&intron_variant	9998.860333127699	
stop_lost&3_prime_UTR_variant	9998.87134292566	
stop_gained&inframe_deletion&splice_region_variant	9998.983394833947	
splice_region_variant&5_prime_UTR_variant	9998.281357098354	
start_lost&5_prime_UTR_variant	9998.983613856977	
frameshift_variant&start_lost	9998.971793029104	
stop_gained&protein_altering_variant&splice_region_variant	9998.866627497062	
inframe_insertion&splice_region_variant	9998.731601656888	
intron_variant&NMD_transcript_variant	9989.610202402482	
splice_region_variant&intron_variant&NMD_transcript_variant	9998.489984657348	
splice_donor_region_variant&intron_variant&NMD_transcript_variant	9998.741707449699	
splice_donor_5th_base_variant&intron_variant&NMD_transcript_variant	9998.877600886695	
splice_donor_variant&NMD_transcript_variant	9998.811384034758	
splice_donor_variant&5_prime_UTR_variant&NMD_transcript_variant	9998.983333333334	
splice_region_variant&5_prime_UTR_variant&NMD_transcript_variant	9998.901576394503	
5_prime_UTR_variant&NMD_transcript_variant	9996.145144405702	
splice_acceptor_variant&splice_polypyrimidine_tract_variant&intron_variant&non_coding_transcript_variant	9992.989462863014	
frameshift_variant&stop_lost	9998.732060438226	
splice_acceptor_variant&splice_polypyrimidine_tract_variant&intron_variant	9998.894588162628	
coding_sequence_variant&5_prime_UTR_variant	9998.923045822103	
splice_acceptor_variant&splice_donor_variant&splice_donor_5th_base_variant&splice_polypyrimidine_tract_variant&coding_sequence_variant&intron_variant	9998.951140065146	
splice_acceptor_variant&splice_donor_variant&splice_donor_5th_base_variant&splice_polypyrimidine_tract_variant&intron_variant&non_coding_transcript_variant	9999.0	
splice_donor_variant&non_coding_transcript_exon_variant	9998.75578034682	
splice_donor_variant&splice_donor_5th_base_variant&non_coding_transcript_exon_variant&intron_variant	9998.87003347402	
splice_acceptor_variant&non_coding_transcript_exon_variant	9998.829176238924	
splice_donor_variant&splice_donor_region_variant&coding_sequence_variant&intron_variant	9998.969701848155	
splice_donor_variant&splice_acceptor_variant&splice_donor_5th_base_variant&splice_polypyrimidine_tract_variant&intron_variant	9998.978168587022	
splice_donor_variant&splice_donor_5th_base_variant&5_prime_UTR_variant&intron_variant	9998.731153685963	
start_lost&inframe_deletion	9998.896334061665	
splice_region_variant&3_prime_UTR_variant	9996.198967293856	
splice_donor_variant&3_prime_UTR_variant	9998.95375	
splice_acceptor_variant&3_prime_UTR_variant	9998.675	
splice_acceptor_variant&splice_polypyrimidine_tract_variant&3_prime_UTR_variant&intron_variant	9998.988333333333	
splice_donor_variant&splice_donor_5th_base_variant&3_prime_UTR_variant&intron_variant	9998.928907168038	
coding_sequence_variant&NMD_transcript_variant	9998.353677621282	
synonymous_variant&NMD_transcript_variant	9996.668796575392	
missense_variant&NMD_transcript_variant	9997.302158370314	
frameshift_variant&NMD_transcript_variant	9998.95984882471	
stop_gained&NMD_transcript_variant	9998.91230086711	
inframe_deletion&NMD_transcript_variant	9998.851756483355	
protein_altering_variant&NMD_transcript_variant	9998.991891891892	
missense_variant&splice_region_variant&NMD_transcript_variant	9998.862247438548	
splice_region_variant&synonymous_variant&NMD_transcript_variant	9998.903170198453	
splice_polypyrimidine_tract_variant&intron_variant&NMD_transcript_variant	9996.991237157432	
splice_polypyrimidine_tract_variant&splice_region_variant&intron_variant&NMD_transcript_variant	9996.763090671657	
splice_region_variant&splice_polypyrimidine_tract_variant&intron_variant&NMD_transcript_variant	9996.812706820816	
splice_acceptor_variant&NMD_transcript_variant	9998.717524213074	
splice_donor_variant&coding_sequence_variant&NMD_transcript_variant	9998.76493256262	
inframe_insertion&NMD_transcript_variant	9998.839175546831	
splice_acceptor_variant&splice_polypyrimidine_tract_variant&intron_variant&NMD_transcript_variant	9998.955154338964	
splice_donor_variant&splice_donor_region_variant&coding_sequence_variant&intron_variant&NMD_transcript_variant	9998.9875	
stop_gained&splice_region_variant&NMD_transcript_variant	9998.948411656602	
splice_region_variant&3_prime_UTR_variant&NMD_transcript_variant	9998.067977104838	
3_prime_UTR_variant&NMD_transcript_variant	9991.88447148273	
splice_donor_variant&splice_donor_5th_base_variant&3_prime_UTR_variant&intron_variant&NMD_transcript_variant	9998.977570093459	
splice_donor_variant&splice_donor_region_variant&intron_variant&NMD_transcript_variant	9998.975903614457	
splice_acceptor_variant&3_prime_UTR_variant&NMD_transcript_variant	9998.981690140845	
frameshift_variant&start_lost&start_retained_variant	9998.43950777202	
splice_donor_variant&splice_donor_region_variant&5_prime_UTR_variant&intron_variant	9998.940334128878	
splice_acceptor_variant&splice_polypyrimidine_tract_variant&5_prime_UTR_variant&intron_variant	9998.953996737357	
splice_donor_variant&splice_donor_5th_base_variant&splice_polypyrimidine_tract_variant&coding_sequence_variant&intron_variant	9998.90598758671	
splice_acceptor_variant&splice_donor_variant&splice_donor_5th_base_variant&splice_polypyrimidine_tract_variant&intron_variant	9998.942911255412	
stop_gained&frameshift_variant&splice_region_variant	9998.89715048976	
splice_donor_variant&splice_acceptor_variant&splice_donor_5th_base_variant&splice_polypyrimidine_tract_variant&coding_sequence_variant&intron_variant	9998.905125677673	
splice_donor_variant&splice_donor_5th_base_variant&intron_variant&non_coding_transcript_variant	9998.262434554974	
splice_donor_variant&splice_donor_region_variant&intron_variant&non_coding_transcript_variant	9998.926265822785	
splice_acceptor_variant&splice_donor_5th_base_variant&splice_polypyrimidine_tract_variant&coding_sequence_variant&intron_variant	9998.985697258642	
stop_gained&protein_altering_variant	9998.968725218081	
splice_donor_variant&splice_donor_region_variant&coding_sequence_variant&5_prime_UTR_variant&intron_variant	9999.0	
protein_altering_variant&splice_region_variant	9998.989264705882	
